@relation AIDS

@attribute Vehicle_id string
@attribute Name_vehicle string
@attribute Acceleration_vehicle numeric
@attribute Speed_vehicle numeric
@attribute Latitude_vehicle numeric
@attribute Longitude_vehicle numeric
@attribute Timestamp_vehicle  DATE "yyyy-MM-dd HH:mm:ss" 
@attribute Rsu_id string
@attribute class {Anomaly,Normal}

@data
6a55b8c0ee450d68a0a7cfbf00437333,2c6d75a3a4ff57e7bbf7f8d506ecb47a,2.0,13.8,70.5,529.95,"2020-03-25 19:35:20",68c109c942d651a303cae6d5d4ccddbe,Normal
c2d0908fc238d15302b8ff0c3ee50fb3,cb8c59ecc8b91c8e676aff1c86416cbb,2.0,7.8,520.05,43.8,"2020-03-25 19:35:20",c91f4ce0fcbb0a20cbdb66a7842495de,Normal
90bf015be467f33d61f2ca5786ec754b,549b0bc9a39db5504436f224c687ef17,0.0,0.0,520.05,31.45,"2020-03-25 19:35:20",c91f4ce0fcbb0a20cbdb66a7842495de,Anomaly
749ffd0434936c17a52efdaaec169f6e,e2c99b3b84c252510b60dccc3dccb2a4,2.0,6.4,1009.84,520.05,"2020-03-25 19:35:21",c91f4ce0fcbb0a20cbdb66a7842495de,Normal
80beb86054fd48f7ff521b477a8db230,cb8c59ecc8b91c8e676aff1c86416cbb,2.0,9.8,520.05,50.7,"2020-03-25 19:35:21",c91f4ce0fcbb0a20cbdb66a7842495de,Normal
7bd16a5aaab0cbf2154238582e628615,c23ca6d8e93c44489bdac5dce50e4985,3.0,26.7,520.05,124.9,"2020-03-25 19:35:21",68c109c942d651a303cae6d5d4ccddbe,Normal
d03eb4792e412fc864ab7406ecf58ce7,2c6d75a3a4ff57e7bbf7f8d506ecb47a,1.2,15.0,83.4,529.95,"2020-03-25 19:35:21",68c109c942d651a303cae6d5d4ccddbe,Normal
c89fa8be3ff704c09c22ff56b7d0f2b1,9b0442dd149979da73cc82f1c3b866dd,0.0,0.0,529.95,1018.55,"2020-03-25 19:35:21",68c109c942d651a303cae6d5d4ccddbe,Anomaly
052ede1e4bff78c7c58d344682671ed9,549b0bc9a39db5504436f224c687ef16,0.0,5.7,520.05,31.45,"2020-03-25 19:35:21",c91f4ce0fcbb0a20cbdb66a7842495de,Normal
c7bccfc4eb6ae54c8dda007a27329670,bed2b53cc2c4f28e59c9278e5c370ba0,2.0,5.8,529.95,1011.1,"2020-03-25 19:35:21",c91f4ce0fcbb0a20cbdb66a7842495de,Normal
b618f471165057d27185f0dc86d38dfa,2c6d75a3a4ff57e7bbf7f8d506ecb47a,0.0,15.0,98.1,529.95,"2020-03-25 19:35:22",68c109c942d651a303cae6d5d4ccddbe,Anomaly
22b15eefad062a3ce5cd6ae64fb9587b,c23ca6d8e93c44489bdac5dce50e4985,3.0,29.7,520.05,150.25,"2020-03-25 19:35:22",68c109c942d651a303cae6d5d4ccddbe,Normal
d4666aecdaed149f76904799b9acb281,549b0bc9a39db5504436f224c687ef17,3.0,8.7,520.05,35.8,"2020-03-25 19:35:22",c91f4ce0fcbb0a20cbdb66a7842495de,Normal
210a7a08dbc9c61dcbca26a4bbf1c170,e2c99b3b84c252510b60dccc3dccb2a4,2.0,8.4,1004.34,520.05,"2020-03-25 19:35:22",c91f4ce0fcbb0a20cbdb66a7842495de,Normal
